cell_nm	batch_id	batch_name	cond	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	loop_enr_EE	loop_enr_LL	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
1CDU_385	12	1CDU_2851	1CDU	0.537551934	0.015194885	0.39523589	0.051266509	0.15749902	31346	0.33573872899999996	0.45249202200000005	1	2.497217017	0.584962501	1.0	581.0	early-S	0.132658614	0.6568723470000001	32696374.31	1.117519184
1CDU_393	12	1CDU_2851	1CDU	0.505453803	0.021004539	0.544258404	0.05293893400000001	0.287740169	73462	0.518062338	0.17916151100000002	1	2.1720096	0.362570079	1.169925001	1311.0	early-S	0.100387238	0.757765805	28339230.51	1.43216534
1CDU_394	12	1CDU_2851	1CDU	0.364343359	0.023936056	0.357873458	0.07854117599999999	0.41943139700000004	98928	0.522605954	0.36288052600000004	1	2.491321272	0.479609501	0.960471636	253.0	G1	0.158589074	0.626079205	23088883.18	1.07806121
1CDU_395	12	1CDU_2851	1CDU	0.310868508	0.025402616	0.295213608	0.080398861	0.28385438	185127	0.435739351	0.183552637	1	2.521336111	0.8384108579999999	0.526068812	533.0	early-S	0.130118244	0.66614365	26447978.01	1.070219021
1CDU_397	12	1CDU_2851	1CDU	0.486086148	0.019150529	0.350306622	0.08544083300000001	0.148143583	64571	0.303897236	0.276298534	1	2.59436812	1.08246216	0.667424661	988.0	early-S	0.111274099	0.7274203690000001	28994526.51	1.226181455
1CDU_402	12	1CDU_2851	1CDU	0.493617701	0.01996815	0.5955833079999999	0.042339867999999996	0.10361862699999999	62636	0.45162141100000003	0.307086426	1	2.5716956559999997	1.017921908	2.08246216	380.0	G1	0.13447721699999998	0.619398752	30710959.84	1.1447775470000001
1CDU_403	12	1CDU_2851	1CDU	0.40660082399999997	0.023797203	0.208926742	0.05579380900000001	0.126457891	117754	0.302438262	0.21942952100000002	1	2.486793064	0.787455365	1.074767768	427.0	G1	0.129152742	0.613874145	36629650.63	1.0829637970000001
1CDU_405	12	1CDU_2851	1CDU	0.523689941	0.017307723	0.14351485	0.055515275	0.18675378899999998	51031	0.583208626	0.34177662600000003	1	2.567778658	1.1192989279999999	0.432959407	856.0	early-S	0.10386299800000001	0.7223347929999999	33334187.31	1.167332361
1CDU_406	12	1CDU_2851	1CDU	0.39739940700000004	0.023500032	0.40469821200000006	0.072120539	0.311649512	51303	0.50522447	0.46006964100000003	1	2.491616243	0.7251401590000001	1.169925001	796.0	early-S	0.125323202	0.6833940159999999	23502837.21	1.21372767
1CDU_407	12	1CDU_2851	1CDU	0.389273111	0.027079216	0.359669119	0.064318888	0.354840531	183663	0.414424818	0.26206296100000004	1	2.4896657419999997	0.543142325	0.824150165	119.0	G1	0.17721465600000003	0.569141153	20236033.18	1.076271673
1CDU_408	12	1CDU_2851	1CDU	0.39781649799999996	0.026571305	0.35909344600000004	0.09056478	0.121689812	123039	0.35145170200000003	0.18199926100000002	1	2.43574861	0.673499175	1.672425342	292.0	G1	0.166550611	0.558650377	32211910.13	1.0825176140000001
1CDU_411	12	1CDU_2851	1CDU	0.361837763	0.024806513	0.291223732	0.055166064	0.287679731	137929	0.37591431299999994	0.169517268	1	2.478335635	0.96829114	0.558490289	228.0	G1	0.153316122	0.602014123	24401981.01	1.0829922459999999
1CDU_412	12	1CDU_2851	1CDU	0.544225175	0.019043736999999998	0.45991408899999997	0.071202134	0.153460942	63720	0.45431087700000006	0.318691983	1	2.602316995	1.040641984	1.3625700790000002	764.0	early-S	0.124290546	0.664048615	34351907.72	1.2315665
1CDU_413	12	1CDU_2851	1CDU	0.359887715	0.024553711000000002	0.15868795	0.066172019	0.19610459100000002	161866	0.340076638	0.322255091	1	2.537219973	0.657475001	0.867362231	372.0	G1	0.12941321	0.623370241	29254149.24	1.074386963
1CDU_415	12	1CDU_2851	1CDU	0.38289240799999996	0.024869292	0.32151773699999997	0.088278207	0.208850755	145302	0.62104154	0.296553102	1	2.5082076580000003	0.362570079	0.7251401590000001	548.0	early-S	0.125642458	0.653314711	28501026.43	1.102629018
1CDU_416	12	1CDU_2851	1CDU	0.376293495	0.031941792000000004	0.282101863	0.077256979	0.055752899	198584	0.553078505	0.43501239	1	2.381921387	1.004116108	0.7206176	1167.0	early-S	0.098586748	0.762893626	31299376.13	1.279163856
1CDU_417	12	1CDU_2851	1CDU	0.364577356	0.027156795	0.22673659	0.089506751	0.26108722300000003	181450	0.35900594	0.24328500100000003	1	2.493397072	0.278301162	0.9634741240000001	889.0	early-S	0.104817121	0.724543698	29633606.77	1.180457213
1CDU_418	12	1CDU_2851	1CDU	0.36551642	0.02922669	0.461239823	0.064106012	0.232902423	193336	0.42504882899999996	0.287849962	1	2.294220426	0.739937161	0.584962501	1012.0	early-S	0.120694944	0.7399973009999999	29620246.81	1.212232448
1CDU_422	12	1CDU_2851	1CDU	0.469021674	0.018054811	0.533525696	0.05062708	0.206708408	67296	0.38394712700000005	0.31306806800000003	1	2.574912634	0.7776075790000001	1.032421478	554.0	early-S	0.135792546	0.64495114	30740021.69	1.121726343
1CDU_424	12	1CDU_2851	1CDU	0.503014592	0.013085273	0.452035321	0.057045612999999995	0.164451961	34375	0.296581001	0.287067209	1	2.421960315	0.7776075790000001	2.432959407	258.0	G1	0.14998173199999998	0.5794665689999999	28267951.62	1.130566308
1CDU_425	12	1CDU_2851	1CDU	0.34795086799999997	0.034807686000000004	0.17976212600000002	0.066292751	0.154911042	256920	0.402226201	0.46641510399999997	1	2.10998617	0.471662937	1.046542586	1255.0	early-S	0.09584829199999999	0.772580244	32173336.82	1.333205872
1CDU_426	12	1CDU_2851	1CDU	0.34834120799999996	0.027727539	0.49294827399999996	0.04461881	0.40602578799999994	192699	0.190518954	0.132927041	1	2.198550949	-0.019899557	-1.0	34.0	G1	0.257367866	0.406244801	18151207.36	1.066090022
