cell_nm	f_trans	trans_align	cis_ab_comp	mean_insu	f_mitotic_band	f_near_band	far_mu	repli_score
1CDX1_116	0.3575725966463038	0.10652457336568438	0.467000657386086	0.9169820109415503	0.20334642192396937	0.4966571040742567	0.9674711220862338	0.07747196380090937
1CDX1_117	0.26059172191268654	0.7432975968731804	0.16810792961748844	0.5674095310390985	0.32287939408115995	0.3771589366015877	0.37146761494600566	0.0981961007726464
1CDX1_121	0.4400813423217672	0.1685766128868631	0.3016574376572521	0.7215482991880244	0.2746853979352981	0.33471443365714215	0.8763859016003863	0.11679866476657486
1CDX1_122	0.4027780100101933	0.5662070750139107	0.43099778875499795	0.7932999380220254	0.2414566519080674	0.4644205114756925	0.5014634385180541	0.15188689184772564
1CDX1_123	0.531749363670948	0.3281183608935119	0.5736302280467017	0.8236061316758263	0.18283337154650722	0.5016154248893652	0.783184806417351	0.25147002702914056
1CDX1_124	0.3079044165566974	0.3947257650184038	0.20725924944932778	0.5981019669815728	0.22839688129886168	0.37948083202672445	0.5704294047238003	0.24357277397866506
1CDX1_125	0.3167125994366917	0.5386796884876486	0.4063625748328436	0.8292056330527433	0.2074054249538185	0.5161079444695218	0.5575471792934997	0.11264279851603431
1CDX1_126	0.5636187628910004	0.29239451278629225	0.4870531985857782	0.8108375892408493	0.22161160499723584	0.5262546983897463	0.7283617258747584	0.16012211845903757
1CDX1_127	0.6306209456926046	0.435253059145551	0.3337279089114318	0.7171353248544181	0.29289633345137644	0.41300666214419013	0.6870867726932885	0.24896043999727757
1CDX1_128	0.15864488154397066	0.796971538839202	0.19564489459799095	0.3814846583155922	0.4955953509570984	0.237770742576203	0.206346791164488	0.1373847309132743
1CDX1_132	0.4077642550400902	0.5131085012710437	0.315484254979378	0.7559768653884416	0.17541354123953898	0.5579839451623398	0.6920311893695947	0.1212240369720039
1CDX1_134	0.19637914566766704	0.5550383930664634	0.3164346267157857	0.6167858494574974	0.39676092487580383	0.247882388461392	0.29596555927756774	0.20368781371796674
1CDX1_136	0.40354692936791214	0.513891831658154	0.2825001554351931	0.7520027166959986	0.20988462338643496	0.48541477975086234	0.5838975184051088	0.1531789120005831
1CDX1_138	0.18385599785724577	0.6631004384304802	0.2938728752960783	0.6734442850976021	0.2414579220207941	0.355260203623466	0.4732240912556628	0.10434686980328811
1CDX1_141	0.33680182252306157	0.5596360905011855	0.3751735810517135	0.8706335627317401	0.20790903175880385	0.48236861204778436	0.5458908773328487	0.22403904590078705
1CDX1_142	0.1270498827794156	0.5171271135908433	0.2656007569096921	0.43246070486049426	0.4576316341630998	0.19076261018333418	0.24750659330195945	0.117695263262791
1CDX1_143	0.28742702241361107	0.6275868786488795	0.31373163284682676	0.7820730398979596	0.30797582025740045	0.30131240656476543	0.4052779874490705	0.1166322152206285
1CDX1_144	0.151363293147552	0.5996699221301903	0.2457064143159266	0.7580240226020223	0.295214642250026	0.2785791552303961	0.44498434742935455	0.08734252750495619
1CDX1_145	0.5738964667213995	0.4614704226152132	0.3504392229879952	0.8301382958752488	0.1928090667546747	0.5852243294210362	0.6094082146298948	0.12039526185826777
1CDX1_146	0.28598356279403436	0.5585254617177176	0.19136042094387679	0.7286522129205204	0.23091834415422777	0.464423507126696	0.45251767340990234	0.13199814633886264
1CDX1_147	0.40427850054424785	0.3977958265590221	0.29862056203834936	0.7443998852427598	0.1630489369741772	0.6031132649293454	0.7110703292232068	0.2942565523814231
1CDX1_151	0.659762698832718	0.07785430470694277	0.2361548190912212	0.8808966400017728	0.1716338563769704	0.373982735454955	0.9998706922142024	0.1098961024247993
1CDX1_152	0.3616753703745559	0.4429189754035026	0.3294998703558567	0.808511621114357	0.2238504440747732	0.4658561992177854	0.5161671040670089	0.09534004339473778
1CDX1_153	0.19327876360102783	0.5642640909515104	0.2586295564560107	0.5068885842284863	0.4221836386514507	0.11915641075130035	0.31832393849409313	0.10699089253737348
1CDX1_154	0.45973297797677615	0.662600619964633	0.6491225413187993	0.646772542589767	0.05818883309023551	0.9002834417644223	0.4850079489162701	0.15834102629016034
1CDX1_155	0.24155464070900343	0.3827158022848877	0.387778261104815	0.745113675694931	0.24512331569486404	0.34001400809258864	0.5431020870822376	0.11429703863433271
1CDX1_156	0.21968112210813875	0.6406451124769776	0.3380903921737535	0.677093122660668	0.30322283569035524	0.32987635016247996	0.3823859853667346	0.1480441723719137
1CDX1_157	0.5708546285328429	0.285785596109961	0.27869963402661896	0.7721789565697805	0.213237239953483	0.5042530860331993	0.7267860609793562	0.16875707315774635
1CDX1_161	0.42815797448239845	0.6791367204464592	0.33304867468665855	0.6540381499776335	0.2261463055266685	0.47770544511257285	0.5556025174185252	0.11596762423037044
1CDX1_162	0.3388119402860399	0.5277884919643442	0.4052029190217559	0.7991795453964663	0.2324101318351893	0.4035733571344884	0.5278039750168213	0.12798125243929537
1CDX1_164	0.4271793285359554	0.4694925777007491	0.4557163703530476	0.6772250547035448	0.24160253241141663	0.4240991178354896	0.5857963037041743	0.14145227664124294
1CDX1_165	0.3295941562498176	0.38572588527847823	0.32629461519971314	0.6106262366522683	0.2237262431634702	0.3476485968386003	0.7739719229376856	0.14403575784611
1CDX1_166	0.23526535044704952	0.859255322009127	0.25480348749140175	0.36436674501782695	0.5821735162321567	0.0531047623306351	0.22183779570768764	0.1500844513125501
